,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,-0.04002569685999333,0.1774638186615661
1,0.1,-0.050494037027166705,0.003711183777873215,-0.029916992442022634,0.002198823139727473,-2.5050002772140805,0.20550619856620345
2,0.2,-0.19588714683382324,0.0068660340655897776,-0.11606032387871644,0.0040680266688996256,-4.628836746488532,0.20115086531691334
3,0.3,-0.4464744362116617,0.009801911081669527,-0.26452969736830906,0.005807491676490725,-7.517556311332937,0.24436165858917389
4,0.4,-0.821992305673084,0.012749073892769655,-0.48701864703334613,0.007553643355700996,-11.092286005287878,0.29606557999756045
5,0.5,-1.3568969014345011,0.015944322887370417,-0.8039419451247174,0.009446782539054885,-16.017909775276426,0.3256793360935562
6,0.6,-2.107755966469676,0.01964744958102339,-1.2488151677112926,0.011640831971986206,-21.806596056822812,0.4900821825527836
7,0.7,-3.1561764633595297,0.024024191238195308,-1.8699892692124285,0.014233988605666542,-30.233744798118003,0.5193342735612078
8,0.8,-4.593296997449468,0.028881219876794265,-2.721462565623894,0.017111708384607457,-40.657814656432826,0.5841605604983332
9,0.9,-6.491299112621179,0.03379657623648451,-3.846001586023174,0.020023986501399423,-54.0667900961301,0.5075062220014982
10,1.0,-8.902563129053522,0.03915084350366223,-5.274640918554977,0.023196313033313348,-66.45039363514518,0.6675289959474835
